Station_ID,Total_Count
0,95458.0
1,176085.0
2,248152.0
3,9038.0
4,116705.0
5,91428.0
6,62464.0
7,102993.0
8,191066.0
9,4681.0
10,61261.0
11,100447.0
12,290582.0
13,162166.0
14,79205.0
15,27685.0
16,73723.0
17,45888.0
18,78047.0
19,28208.0
20,45091.0
21,147756.0
22,6680.0
23,140919.0
24,138795.0
25,42376.0
26,307941.0
27,100685.0
28,156688.0
29,138179.0
30,243973.0
31,81184.0
32,60520.0
33,81493.0
34,102668.0
35,98920.0
36,238220.0
37,88684.0
38,93007.0
39,165487.0
40,62537.0
41,69947.0
42,47999.0
43,254272.0
44,85004.0
45,20066.0
46,90331.0
47,106798.0
48,160567.0
49,163518.0
50,118902.0
51,269643.0
52,211341.0
53,0.0
54,127400.0
55,30535.0
56,17160.0
57,97451.0
58,180254.0
59,57818.0
60,154.0
61,223528.0
62,33823.0
63,97809.0
64,199621.0
65,140588.0
66,10978.0
67,102888.0
68,201840.0
69,99203.0
70,195597.0
71,65984.0
72,101922.0
73,136238.0
74,38012.0
75,212144.0
76,148693.0
77,81160.0
78,337157.0
79,61837.0
80,59338.0
81,0.0
82,253689.0
83,174567.0
84,110526.0
85,172224.0
86,5337.0
87,212185.0
88,108822.0
89,128633.0
90,163915.0
91,364680.0
92,48556.0
93,361261.0
94,36442.0
95,124560.0
96,220158.0
97,115729.0
98,252972.0
99,38238.0
100,0.0
101,362126.0
102,111403.0
103,222758.0
104,49445.0
105,63433.0
106,28396.0
107,172213.0
108,39635.0
109,28618.0
110,12079.0
111,109876.0
112,195633.0
113,201649.0
114,133049.0
115,224201.0
116,67026.0
117,206943.0
118,117409.0
119,416748.0
120,30453.0
121,206932.0
122,53127.0
123,99018.0
124,96106.0
125,77250.0
126,7776.0
127,33827.0
128,264802.0
129,311489.0
130,152989.0
131,101712.0
132,72073.0
133,372603.0
134,97388.0
135,100837.0
136,171981.0
137,76720.0
138,98283.0
139,233968.0
140,18703.0
141,35306.0
142,286237.0
143,87755.0
144,128933.0
145,11389.0
146,38896.0
147,31427.0
148,211031.0
149,188095.0
150,235735.0
151,52509.0
152,299728.0
153,31067.0
154,170378.0
155,49162.0
156,182370.0
157,46254.0
158,48104.0
159,23847.0
160,16846.0
161,75003.0
162,74760.0
163,70564.0
164,127401.0
165,147866.0
166,112307.0
167,133701.0
168,69363.0
169,246572.0
170,137018.0
171,57082.0
172,2639.0
173,68467.0
174,124635.0
175,105448.0
176,141894.0
177,174958.0
178,143823.0
179,100732.0
180,7341.0
181,69206.0
182,15558.0
183,112993.0
184,117885.0
185,254491.0
186,48439.0
187,111201.0
188,151367.0
189,90802.0
190,168379.0
191,175885.0
192,26937.0
193,98905.0
194,193180.0
195,63147.0
196,124335.0
197,241485.0
198,185973.0
199,119194.0
200,70064.0
201,48475.0
202,39945.0
203,75517.0
204,127573.0
205,126219.0
206,33408.0
207,163384.0
208,57172.0
209,88712.0
210,18077.0
211,56863.0
212,110134.0
213,197951.0
214,77551.0
215,105892.0
216,84960.0
217,191285.0
218,23951.0
219,66505.0
220,207394.0
221,48081.0
222,111486.0
223,111967.0
224,133738.0
225,127816.0
226,27029.0
227,33926.0
228,228219.0
229,126265.0
230,33904.0
231,51054.0
232,24789.0
233,82080.0
234,78821.0
235,193657.0
236,67634.0
237,32955.0
238,313665.0
239,168091.0
240,112975.0
241,38287.0
242,346025.0
243,70142.0
244,151180.0
245,64488.0
246,50268.0
247,167523.0
248,325295.0
249,173503.0
250,234626.0
251,163572.0
252,29259.0
253,92397.0
254,71355.0
255,328859.0
256,278509.0
257,56224.0
258,125514.0
259,282082.0
260,113755.0
261,66798.0
262,8342.0
263,12975.0
264,284135.0
265,111028.0
266,92329.0
267,144427.0
268,146507.0
269,59982.0
270,59406.0
271,71491.0
272,150794.0
273,184570.0
274,25984.0
275,310659.0
276,40281.0
277,28294.0
278,100099.0
279,127598.0
280,38476.0
281,418799.0
282,36437.0
283,28016.0
284,21923.0
285,245472.0
286,92772.0
287,5533.0
288,35305.0
289,236333.0
290,162798.0
291,164445.0
292,30805.0
293,121761.0
294,15272.0
295,91378.0
296,274727.0
297,161304.0
298,127174.0
299,58308.0
300,111472.0
301,123105.0
302,100408.0
303,124995.0
304,225697.0
305,6167.0
306,124266.0
307,105177.0
308,96435.0
309,136118.0
310,68081.0
311,92628.0
312,146096.0
313,44645.0
314,149495.0
315,88295.0
316,247425.0
317,120179.0
318,234149.0
319,78627.0
320,260437.0
321,73514.0
322,79180.0
323,83128.0
324,41915.0
325,10476.0
326,171560.0
327,24448.0
328,39494.0
329,38563.0
330,69418.0
331,160337.0
332,62456.0
333,19286.0
334,72041.0
335,252332.0
336,119586.0
337,38246.0
338,71845.0
339,105537.0
340,15845.0
341,112357.0
342,22721.0
343,246540.0
344,84796.0
345,121932.0
346,285810.0
347,151850.0
348,257089.0
349,222498.0
350,83557.0
351,260535.0
352,205702.0
353,188703.0
354,25384.0
355,103907.0
356,48854.0
357,171256.0
358,10950.0
359,63711.0
360,126690.0
361,38390.0
362,210451.0
363,97867.0
364,32981.0
365,196669.0
366,83591.0
367,94072.0
368,210695.0
369,71131.0
370,37118.0
371,216449.0
372,42345.0
373,139509.0
374,4504.0
375,246872.0
376,747265.0
377,49381.0
378,115241.0
379,327313.0
380,101772.0
381,175946.0
382,104479.0
383,30073.0
384,238867.0
385,86972.0
386,94505.0
387,79735.0
388,167151.0
389,76535.0
390,298674.0
391,255492.0
392,196256.0
393,62847.0
394,126786.0
395,99553.0
396,94787.0
397,97827.0
398,0.0
399,51372.0
400,63818.0
401,61633.0
402,155744.0
403,55416.0
404,251461.0
405,14952.0
406,74997.0
407,19063.0
408,53453.0
409,28256.0
410,93433.0
411,106789.0
412,17147.0
413,58009.0
414,54932.0
415,49178.0
416,174351.0
417,70190.0
418,115838.0
419,78452.0
420,84418.0
421,49721.0
422,39998.0
423,103135.0
424,84467.0
425,15275.0
426,71597.0
427,195760.0
428,14563.0
429,46123.0
430,127615.0
431,190510.0
432,102131.0
433,63547.0
434,120619.0
435,127749.0
436,46444.0
437,48781.0
438,50775.0
439,98503.0
440,82766.0
441,223294.0
442,112029.0
443,154384.0
444,23923.0
445,110316.0
446,44722.0
447,262184.0
448,73005.0
449,25446.0
450,101582.0
451,3117.0
452,114069.0
453,597320.0
454,364340.0
455,102626.0
456,29886.0
457,166531.0
458,64755.0
459,161512.0
460,113909.0
461,218587.0
462,58895.0
463,220862.0
464,45314.0
465,97349.0
466,281599.0
467,251117.0
468,132770.0
469,25812.0
470,47415.0
471,28363.0
472,196009.0
473,206220.0
474,141651.0
475,145401.0
476,186961.0
477,202683.0
478,128650.0
479,52882.0
480,167623.0
481,116304.0
482,60965.0
483,0.0
484,26508.0
485,268564.0
486,2620.0
487,70448.0
488,193825.0
489,115564.0
490,289072.0
491,126612.0
492,89477.0
493,144167.0
494,127660.0
495,45923.0
496,67372.0
497,38383.0
498,29670.0
499,89112.0
500,123706.0
501,368496.0
502,48775.0
503,164038.0
504,24385.0
505,42695.0
506,38190.0
507,338129.0
508,286654.0
509,89467.0
510,71219.0
511,136447.0
512,81045.0
513,26438.0
514,79962.0
515,29085.0
516,54844.0
517,39546.0
518,169859.0
519,358139.0
520,131793.0
521,71568.0
522,110708.0
523,116342.0
524,139719.0
525,90601.0
526,141353.0
527,62896.0
528,204846.0
529,84752.0
530,117625.0
531,98782.0
532,384898.0
533,117161.0
534,90974.0
535,99376.0
536,250035.0
537,114812.0
538,35708.0
539,94577.0
540,43572.0
541,49856.0
542,15939.0
543,132642.0
544,95059.0
545,497751.0
546,177341.0
547,113419.0
548,124225.0
549,76627.0
550,6049.0
551,31540.0
552,80798.0
553,43603.0
554,68381.0
555,85752.0
556,37740.0
557,102770.0
558,218393.0
559,193103.0
560,39851.0
561,94603.0
562,44490.0
563,105319.0
564,71108.0
565,64647.0
566,105417.0
567,52823.0
568,186939.0
569,245885.0
570,140668.0
571,39653.0
572,86688.0
573,78772.0
574,185030.0
575,265659.0
576,64412.0
577,11987.0
578,39858.0
579,71577.0
580,73043.0
581,44391.0
582,98122.0
583,376634.0
584,0.0
585,59681.0
586,89407.0
587,77576.0
588,29092.0
589,100893.0
590,25350.0
591,18978.0
592,132281.0
593,184040.0
594,0.0
595,25506.0
596,56741.0
597,15937.0
598,92916.0
599,73870.0
600,58440.0
601,268769.0
602,87043.0
603,61296.0
604,107830.0
605,140299.0
606,175751.0
607,149889.0
608,81188.0
609,76006.0
610,91793.0
611,44835.0
612,127809.0
613,118539.0
614,73089.0
615,170127.0
616,58455.0
617,72189.0
618,103063.0
619,197449.0
620,132260.0
621,71143.0
622,274145.0
623,168171.0
624,288915.0
625,40020.0
626,166124.0
627,59783.0
628,31558.0
629,20178.0
630,102460.0
631,158178.0
632,44742.0
633,114407.0
634,114756.0
635,200853.0
636,183529.0
637,259402.0
638,111929.0
639,26240.0
640,314189.0
641,134408.0
642,133916.0
643,107344.0
644,79947.0
645,74574.0
646,9709.0
647,174758.0
648,12364.0
649,11089.0
650,150776.0
651,136479.0
652,312071.0
653,38221.0
654,227394.0
655,81409.0
656,42793.0
657,189725.0
658,188139.0
659,103457.0
660,186460.0
661,138593.0
662,92968.0
663,78952.0
664,66661.0
665,99337.0
666,144029.0
667,71317.0
668,115052.0
669,64350.0
670,136912.0
671,214263.0
672,25328.0
673,32562.0
674,143670.0
675,365477.0
676,55454.0
677,108460.0
678,32097.0
679,43646.0
680,48760.0
681,278019.0
682,54273.0
683,27376.0
684,124862.0
685,164360.0
686,76521.0
687,96520.0
688,59979.0
689,13481.0
690,88979.0
691,42724.0
692,67377.0
693,2360.0
694,55751.0
695,65917.0
696,84878.0
697,201341.0
698,62812.0
699,83022.0
700,171155.0
701,118480.0
702,22767.0
703,74278.0
704,178323.0
705,86116.0
706,249568.0
707,64454.0
708,26552.0
709,52543.0
710,24500.0
711,161503.0
712,89331.0
713,58110.0
714,7972.0
715,122610.0
716,61910.0
717,133174.0
718,129364.0
719,25535.0
720,106840.0
721,59678.0
722,72609.0
723,144984.0
724,35114.0
725,180194.0
726,557468.0
727,152586.0
728,218981.0
729,103521.0
730,162816.0
731,113087.0
732,57719.0
733,65377.0
734,129588.0
735,31393.0
736,431500.0
737,57701.0
738,143858.0
739,71606.0
740,41970.0
741,18829.0
742,36257.0
743,42008.0
744,128672.0
745,77133.0
746,109776.0
747,177136.0
748,175858.0
749,109771.0
750,37681.0
751,271280.0
752,106404.0
753,82066.0
754,62595.0
755,250419.0
756,17057.0
757,17449.0
758,176482.0
759,110027.0
760,69658.0
761,18896.0
762,62065.0
763,467463.0
764,62742.0
765,169090.0
766,171318.0
767,131733.0
768,237798.0
769,12426.0
770,180899.0
771,50449.0
772,98877.0
773,162892.0
774,234688.0
775,112545.0
776,189729.0
777,72639.0
778,119591.0
779,137993.0
780,109858.0
781,20719.0
782,19662.0
783,69085.0
784,89316.0
785,59886.0
786,209301.0
787,76034.0
788,328648.0
789,131152.0
790,18123.0
791,100297.0
792,263719.0
793,0.0
794,100974.0
795,70758.0
796,85455.0
797,116694.0
798,161383.0
799,103452.0
800,27701.0
801,146289.0
802,38785.0
803,107571.0
804,113727.0
805,67324.0
806,56844.0
807,169138.0
